Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes,Observation_Year,Observation_Month,Observation_Day
1,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.9,62.0,Adult,Male,2018-03-31,Belize,Swamps,Least Concern,Allison Hill,Cause bill scientist nation opportunity.,2018,3,31
2,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,4.09,334.5,Adult,Male,2015-01-28,Venezuela,Mangroves,Vulnerable,Brandon Hall,Ago current practice nation determine operation speak according.,2015,1,28
3,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.08,118.2,Juvenile,Unknown,2010-12-07,Venezuela,Flooded Savannas,Critically Endangered,Melissa Peterson,Democratic shake bill here grow gas enough analysis least by two.,2010,12,7
4,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.42,90.4,Adult,Male,2019-11-01,Mexico,Rivers,Least Concern,Edward Fuller,Officer relate animal direction eye bag do.,2019,11,1
5,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.75,269.4,Adult,Unknown,2019-07-15,India,Rivers,Vulnerable,Donald Reid,Class great prove reduce raise author play move each left establish understand read detail.,2019,7,15
6,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.64,137.4,Adult,Male,2023-06-08,India,Reservoirs,Vulnerable,Randy Brown,Source husband at tree note responsibility defense.,2023,6,8
7,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.85,157.7,Subadult,Male,2010-12-10,Thailand,Slow Rivers,Critically Endangered,Dr. Marvin Thomas Jr.,Much section investment on gun young catch management sense technology check civil quite others his other life edge.,2010,12,10
8,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.35,4.7,Juvenile,Unknown,2008-08-03,Central African Republic,Forest Swamps,Data Deficient,Terri Frazier,Race Mr environment political born itself law west.,2008,8,3
9,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.05,201.2,Adult,Male,2020-04-16,Sudan,Lakes,Least Concern,Deborah Mason,Medical blood personal success medical current hear claim well.,2020,4,16
10,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,3.39,197.2,Adult,Male,2016-05-21,Mexico,Lagoons,Least Concern,Tamara George,Affect upon these story film around there water beat magazine attorney set.,2016,5,21
11,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.22,15.8,Adult,Male,2018-06-08,Liberia,Small Streams,Vulnerable,Betty Alvarez,Close month parent who up sense ready.,2018,6,8
12,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.84,60.7,Adult,Male,2019-10-19,Belize,Lagoons,Least Concern,Jennifer Powers,Just military building different full open discover detail.,2019,10,19
13,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.63,121.3,Subadult,Unknown,2015-02-16,Cambodia,Slow Rivers,Critically Endangered,Mark Perez,Teacher audience draw protect Democrat.,2015,2,16
14,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.65,217.7,Adult,Male,2006-07-07,Mexico,Mangroves,Vulnerable,Timothy Duncan,Drug list imagine behind probably great in tell.,2006,7,7
15,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.32,19.2,Adult,Female,2010-06-14,Côte d'Ivoire,Small Streams,Vulnerable,Matthew Lucas,I fund technology eat couple large.,2010,6,14
16,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.0,67.9,Adult,Unknown,2007-03-18,Mexico,Rivers,Least Concern,Donald Wright,Kitchen technology nearly anything yourself structure why.,2007,3,18
17,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.98,61.5,Juvenile,Unknown,2007-03-14,Mexico,Lagoons,Least Concern,Sarah Martin,Loss ten total clearly able hospital unit size expect recent room situation product main couple design around.,2007,3,14
18,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.37,565.0,Adult,Female,2025-10-13,Sudan,Reservoirs,Least Concern,Amy Edwards,Once me system church whether bag.,2025,10,13
19,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.07,31.1,Juvenile,Unknown,2017-02-28,Indonesia (Borneo),Estuarine Systems,Data Deficient,Kurt Leonard,Identify walk now often always.,2017,2,28
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,1.55,350.9,Juvenile,Male,2017-12-26,Philippines,Estuaries,Least Concern,Matthew Cunningham,Various daughter respond draw how public feel.,2017,12,26
21,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,89.6,Subadult,Unknown,2011-09-24,Malaysia (Borneo),Estuarine Systems,Data Deficient,Paul Jones,Perform none beyond Mrs media car give attention.,2011,9,24
22,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.65,759.8,Adult,Male,2013-04-16,Tanzania,Lakes,Least Concern,Dustin Kim,Region particularly would pressure account stage federal professional voice care break blood network evening painting response.,2013,4,16
23,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.77,36.0,Adult,Male,2010-12-07,Congo (DRC),Forest Swamps,Data Deficient,Mark Baker,Economy traditional anything plant stop analysis four capital woman claim kind relationship night born war real chance.,2010,12,7
24,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.44,107.9,Subadult,Male,2007-01-27,Cuba,Swamps,Critically Endangered,Jacob Tran,Camera final together someone team together.,2007,1,27
25,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.18,342.1,Juvenile,Male,2017-03-28,Kenya,Marshes,Least Concern,David Garcia,This image per choice upon ten wish specific thing agent say forward us soon ten specific environment skin.,2017,3,28
26,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,0.34,42.4,Hatchling,Unknown,2007-04-23,Cuba,Swamps,Critically Endangered,Shane Garrison,Current truth glass star the development process.,2007,4,23
27,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.39,174.9,Adult,Female,2022-07-20,Pakistan,Rivers,Vulnerable,Donald Jones,Go meeting quickly such former agree theory end oil.,2022,7,20
28,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.94,367.9,Subadult,Male,2019-10-21,Venezuela,Flooded Savannas,Critically Endangered,Mrs. Linda Reed,Job worker break tonight couple and job mind southern rather vote.,2019,10,21
29,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.22,196.6,Adult,Unknown,2012-06-05,Cambodia,Slow Rivers,Critically Endangered,Christina Reynolds,Perhaps professional by tonight medical project for recent never court.,2012,6,5
30,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.71,576.6,Adult,Female,2018-08-07,Venezuela,Flooded Savannas,Critically Endangered,Jamie Adkins,Past feeling nature a expert involve oil.,2018,8,7
31,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.04,80.2,Adult,Unknown,2020-01-16,Thailand,Swamps,Critically Endangered,Julie Ramos,Memory soldier where save probably exist professional people behavior weight.,2020,1,16
32,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,4.11,324.4,Adult,Female,2014-01-10,USA (Florida),Mangroves,Vulnerable,Eric Drake,Agency each little sure authority increase picture create recent manager.,2014,1,10
33,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.42,85.6,Adult,Female,2017-04-16,Cuba,Swamps,Critically Endangered,Matthew Smith,Sing despite sound receive let newspaper true.,2017,4,16
34,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.01,28.9,Juvenile,Unknown,2008-10-22,Philippines,Rivers,Critically Endangered,Casey Marshall,Write other wear through partner rest measure store natural today season listen else easy point she miss.,2008,10,22
35,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.76,36.7,Juvenile,Unknown,2024-01-23,Papua New Guinea,Swamps,Least Concern,Denise Jones,Doctor from throw ball character him check degree increase former letter.,2024,1,23
36,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.26,84.2,Adult,Male,2022-06-17,Philippines,Freshwater Marshes,Critically Endangered,Ross Price,Watch affect thing offer local wall fear hope through structure.,2022,6,17
37,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.48,21.9,Adult,Female,2021-12-10,Côte d'Ivoire,Small Streams,Vulnerable,Morgan Marsh,Major event magazine home protect something right subject try wonder move trade.,2021,12,10
38,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.96,182.7,Adult,Unknown,2010-05-14,Liberia,Swamps,Critically Endangered,Mary Miller,Career left anyone here deep force seven.,2010,5,14
39,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.05,24.0,Juvenile,Female,2014-04-30,Australia,Freshwater Rivers,Least Concern,Paul Decker,Strong like see appear weight difference attention whatever American all easy.,2014,4,30
40,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.72,150.3,Subadult,Female,2017-01-27,Senegal,Oases,Least Concern,Lisa Allen,Prove nor design record short cold parent security boy standard who blue agent find quality when.,2017,1,27
41,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.25,195.6,Adult,Unknown,2008-09-14,Pakistan,Rivers,Vulnerable,Miguel Jones,Drug recent feeling range south someone not American mouth product attention positive actually information majority item gun through least.,2008,9,14
42,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.57,387.4,Subadult,Female,2022-01-27,South Africa,Marshes,Least Concern,Christopher Boyd,Pattern try simple let stay or focus early various everything late.,2022,1,27
43,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.29,33.2,Hatchling,Unknown,2008-06-02,Thailand,Slow Rivers,Critically Endangered,Laura Barnett,Agreement surface consider deep something future they red everybody act way beat result.,2008,6,2
44,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.33,74.0,Adult,Unknown,2021-02-10,Mexico,Swamps,Least Concern,Peter Vaughn DDS,Large admit family identify during professional hard network gas you nearly goal.,2021,2,10
45,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.5,90.6,Adult,Male,2006-09-15,Guatemala,Lagoons,Least Concern,Eric Hall,Firm sea week real course school everybody.,2006,9,15
46,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.52,104.1,Adult,Male,2012-10-15,Guatemala,Rivers,Least Concern,Paige Carlson,Strategy fast guess few remain call animal.,2012,10,15
47,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.04,155.0,Adult,Unknown,2024-12-30,Colombia,Estuaries,Vulnerable,Edgar Raymond,Bill activity expect long future whole education technology box assume man officer rather charge.,2024,12,30
